[14:21:53] [main/INFO]: ModLauncher running: args [--username, Melodi_Bug, --version, forge-47.3.0, --gameDir, C:\Users\melod\curseforge\minecraft\Instances\FancyCraft, --assetsDir, C:\Users\melod\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, b0b6b36226fb49329c84d9dfbd2166bd, --accessToken, ????????, --clientId, ZjMxMzRhMjMtMjFlNy00ZDVlLTljOTktMTcxMmZiM2M3MzM0, --xuid, 2535421268856048, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\melod\curseforge\minecraft\Install\quickPlay\java\1725510112228.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[14:21:53] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[14:21:54] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[14:21:54] [main/INFO]: Trying GL version 4.6
[14:21:54] [main/INFO]: Requested GL version 4.6 got version 4.6
[14:21:54] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/melod/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[14:21:54] [pool-2-thread-1/INFO]: GL info: Intel(R) Iris(R) Xe Graphics GL version 4.6.0 - Build 31.0.101.5186, Intel
[14:21:55] [main/INFO]: Found mod file AdditionalEnchantedMiner-1.20.1-1201.1.90.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file AdvancementPlaques-1.20.1-forge-1.5.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file AE2-Things-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ae2wtlib-15.2.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file alexsmobs-1.22.8.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file alltheores-1.20.1-47.1.3-2.2.4.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file AmbientEnvironment-forge-1.20.1-11.0.0.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file amendments-1.20-1.2.9.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Applied-Mekanistics-1.4.2.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file appliedenergistics2-forge-15.2.13.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file ars_nouveau-1.20.1-4.12.4-all.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file arseng-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file artifacts-forge-9.5.13.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file athena-forge-1.20.1-3.1.2.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.9-all.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file baubley-heart-canisters-1.20.1-1.0.5.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file BiomesOPlenty-1.20.1-18.0.0.592.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file blueprint-1.20.1-7.1.0.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.13.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file buildinggadgets2-1.0.7.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file BuildingWands-mc1.20.1-2.6.9-release.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file chatcolours-1.20.1-3.1.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
[14:21:55] [main/INFO]: Found mod file Chipped-forge-1.20.1-3.0.6.jar of type MOD with provider {mods folder locator at C:\Users\melod\curseforge\minecraft\Instances\FancyCraft\mods}
